ScenarioText,QuestionText,PillarCode,AreaCode,CompetencyCode,OptA,WeightA,OptB,WeightB,OptC,WeightC,OptD,WeightD,OptE,WeightE
"Saat menyusun Bab 2 Skripsi Anda menemukan sebuah infografis yang sangat bagus di blog pribadi yang dapat menjelaskan kerangka berpikir penelitian Anda.","Bagaimana prosedur etis dan akademis untuk memasukkannya ke dalam Skripsi?",DCU,3,3.3,"Menyalin gambar tanpa menyebutkan sumber",1,"Mengganti watermark gambar dengan nama sendiri",2,"Menyalin gambar dan hanya menaruh tautan web di bawahnya",3,"Menghubungi pemilik blog untuk meminta izin",4,"Menggambar ulang infografis dengan gaya sendiri dan mencantumkan sumber referensi",5
"Anda ditugaskan membuat presentasi video dengan menggabungkan cuplikan wawancara dan grafik data.","Apa tindakan yang Anda lakukan?",DSK,3,3.2,"Hanya menumpuk video tanpa edit",1,"Meminta teman mengedit",2,"Mengedit seadanya tanpa transisi",3,"Menggunakan aplikasi edit video dengan rapi",4,"Menggabungkan video grafik dan audio dengan transisi mulus",5
"Anda perlu mengolah ratusan data kuesioner di Excel dan memakan waktu lama jika dihitung manual.","Apa tindakan Anda?",DSK,3,3.4,"Menghitung manual satu per satu dengan kalkulator",1,"Menyalin data tanpa rumus",2,"Menggunakan rumus dasar SUM dan AVERAGE",3,"Menggunakan fungsi IF dan VLOOKUP",4,"Membuat macro atau script sederhana untuk otomatisasi",5
"Laptop dan smartphone lama Anda sudah tidak bisa digunakan dan menumpuk di kamar.","Apa yang Anda lakukan?",DSA,4,4.4,"Dibuang ke tempat sampah biasa",1,"Dibakar bersama sampah rumah tangga",2,"Disimpan di laci selamanya",3,"Diberikan ke pemulung atau tukang rongsok",4,"Disalurkan ke fasilitas daur ulang limbah elektronik resmi",5
"Saat sedang mengerjakan ujian online tiba-tiba koneksi portal kampus terputus dan menampilkan layar putih.","Apa tindakan Anda?",DCU,5,5.1,"Menangis dan pasrah nilai nol",1,"Marah-marah di grup kelas",2,"Menunggu saja sampai sistem kembali normal",3,"Melakukan refresh dan membersihkan cache browser",4,"Mendokumentasikan error lalu menghubungi teknisi atau dosen",5
"Anda kesulitan mengingat banyak jadwal rapat organisasi tugas kuliah dan jadwal ujian yang bertabrakan.","Apa solusi Anda?",DCU,5,5.2,"Membiarkan saja dan sering terlambat",1,"Mencatat di kertas yang mudah hilang",2,"Mengingat di kepala saja",3,"Memasang alarm HP sederhana",4,"Menggunakan aplikasi kalender digital dengan pengingat otomatis",5
"Himpunan mahasiswa Anda kekurangan dana untuk mengadakan seminar dan butuh mencari donasi eksternal.","Apa langkah Anda?",DCU,5,5.3,"Hanya menyebar proposal fisik ke jalanan",1,"Meminta sumbangan paksa ke mahasiswa",2,"Menyebar nomor rekening pribadi di grup",3,"Membuat e-poster donasi untuk disebar di media sosial",4,"Membuka kampanye donasi transparan di platform crowdfunding digital",5
"Rekan satu kelompok presentasi Anda berasal dari daerah dan sangat kesulitan menggunakan Google Slides.","Apa yang Anda lakukan?",DCU,5,5.4,"Mengeluarkan dia dari kelompok",1,"Membiarkan dia diam saja saat presentasi",2,"Mengambil alih semua bagian tugasnya",3,"Menyuruhnya belajar sendiri lewat YouTube",4,"Membimbing dan mengajarinya fitur dasar secara bertahap",5
"Kampus mengadopsi Sistem Informasi Terintegrasi baru untuk absensi tugas dan perpustakaan.","Bagaimana sikap Anda?",DCU,6,6.1,"Menolak memakai dan mengeluh setiap hari",1,"Terus meminta teman untuk mengisikan absen",2,"Hanya login untuk absen lalu logout",3,"Mempelajari fitur wajib secara mandiri",4,"Mengeksplorasi seluruh fitur sistem baru tersebut secara optimal",5
"Anda akan segera lulus dan ingin melamar program Management Trainee di perusahaan besar.","Bagaimana cara Anda membuat CV?",DCU,6,6.2,"Memakai CV tulis tangan yang difotokopi",1,"Membeli CV desain mencolok yang sulit dibaca sistem",2,"Menyalin CV milik teman sepenuhnya",3,"Membuat CV digital standar berformat PDF",4,"Membuat CV berformat ATS friendly yang menonjolkan portofolio",5
"Anda butuh wawasan industri terkait profesi impian Anda untuk merencanakan karir.","Apa yang Anda lakukan?",DCU,6,6.3,"Hanya main game online setiap waktu luang",1,"Menunggu seminar wajib dari kampus",2,"Hanya bertanya kepada orang tua di rumah",3,"Membuat akun LinkedIn tapi tidak pernah aktif",4,"Aktif membangun profil LinkedIn dan berinteraksi dengan praktisi industri",5
