Text,PillarCode,AreaCode,CompetencyCode,OptA,WeightA,OptB,WeightB,OptC,WeightC,OptD,WeightD,OptE,WeightE
Anda sedang bersiap mencari kerja. Bagaimana kondisi media sosial Anda?,DET,2,2.6,Penuh keluh kesah dan kata kasar,1,Sering posting kegiatan tidak etis,2,Diprivat sepenuhnya,3,Bersih dari postingan negatif,4,Menampilkan portofolio dan karya profesional,5
Anda sering menggunakan Wi-Fi publik di kafe sekitar kampus.,DSA,4,4.1,Bebas mengakses data sensitif,1,Mengklik semua pop-up iklan,2,Tidak pernah update Antivirus,3,Hanya browsing biasa tanpa buka data penting,4,Menggunakan VPN dan web HTTPS,5
Seseorang menelepon meminta password portal mahasiswa Anda.,DSA,4,4.2,Langsung memberikan tanpa curiga,1,Memberikan asal-asalan,2,Bertanya ke teman dulu lalu memberikan,3,Menutup telepon,4,Menolak keras dan melaporkan ke akademik,5
Menjelang UAS Anda menatap layar laptop lebih dari 12 jam sehari.,DSA,4,4.3,Diteruskan saja walau mata perih,1,Mengandalkan obat tetes mata,2,Istirahat hanya saat mau tidur,3,Menurunkan brightness layar,4,Menerapkan aturan istirahat berkala,5
Laptop lama Anda sudah rusak total dan tidak bisa diperbaiki.,DSA,4,4.4,Dibuang ke tempat sampah biasa,1,Dibakar bersama sampah daun,2,Disimpan di gudang selamanya,3,Diberikan ke tukang rongsokan,4,Disalurkan ke fasilitas daur ulang limbah elektronik,5
Saat sedang ujian online tiba-tiba halaman error.,DCU,5,5.1,Menangis dan pasrah dapat nilai nol,1,Marah-marah di grup kelas,2,Menunggu saja sampai sistemnya benar sendiri,3,Refresh halaman dan clear cache,4,Mengambil screenshot error dan menghubungi dosen,5
Anda kesulitan mengatur jadwal kuliah dan waktu istirahat yang padat.,DCU,5,5.2,Membiarkan semuanya berantakan,1,Mencatat di kertas tapi sering hilang,2,Mengandalkan ingatan saja,3,Memasang alarm HP biasa,4,Memanfaatkan kalender digital untuk manajemen waktu,5
Himpunan mahasiswa ingin menggalang dana untuk baksos.,DCU,5,5.3,Meminta sumbangan di jalanan,1,Menyebar amplop kosong ke kelas,2,Broadcast nomor rekening di grup,3,Membuat poster digital untuk donasi,4,Membuka kampanye di platform crowdfunding transparan,5
Teman sekelompok Anda berasal dari daerah dan sangat gagap teknologi.,DCU,5,5.4,Mengejeknya dan tidak mau sekelompok,1,Membiarkannya tidak mengerjakan apa-apa,2,Mengambil alih semua tugasnya agar cepat kelar,3,Menyuruhnya belajar sendiri di YouTube,4,Membimbing dan mengajarinya secara bertahap,5
Menggunakan portal kampus untuk perkuliahan.,DCU,6,6.1,Tidak bisa login dan sering telat,1,Selalu minta tolong teman untuk submit,2,Bisa submit tugas tapi tidak tahu cek nilai,3,Lancar menggunakan fitur standar,4,Mengeksplorasi seluruh fitur seperti forum diskusi,5
Persiapan kelulusan pembuatan Curriculum Vitae Anda.,DCU,6,6.2,Membeli CV fisik lalu ditulis tangan,1,Membuat CV berdesain sangat norak,2,Menyalin CV teman persis,3,Membuat CV format standar,4,Membuat CV ATS-friendly menonjolkan project,5
Anda ingin mencari relasi dan informasi terkait karir masa depan.,DCU,6,6.3,Hanya main media sosial hiburan,1,Menunggu ada lowongan dari kampus,2,Bertanya pada keluarga saja,3,Membuat akun LinkedIn tapi kosong,4,Aktif membangun profil LinkedIn dan connect alumni,5
